,state,city,zip_code,latitude,longitude
374,CA,American Canyon,94503,38.182987,-122.252632
375,CA,Anaheim,92801,33.833236,-117.995057
376,CA,Anaheim,92801,33.8363,-117.938
377,CA,Anaheim,92801,33.857602,-117.918796
378,CA,Anaheim,92805,33.819473,-117.908042
379,CA,Anderson,96007,40.431344,-122.289703
380,CA,Antelope,95843,38.712775,-121.394667
381,CA,Antioch,94531,37.96348,-121.761615
382,CA,Apple Valley,92307,34.525592,-117.223224
383,CA,Arroyo Grande,93420,35.1289517,-120.5977084
384,CA,Atwater,95301,37.340296,-120.609275
385,CA,Bakersfield,93306,35.391531,-118.960829
386,CA,Bakersfield,93307,35.298796,-119.029215
387,CA,Bakersfield,93307,35.353387,-118.947601
388,CA,Bakersfield,93308,35.434523,-119.022288
389,CA,Bakersfield,93312,35.370037,-119.147611
390,CA,Bakersfield,93312,35.386354,-119.095662
391,CA,Bakersfield,93312,35.411874,-119.112528
392,CA,Bakersfield,93313,35.308793,-119.095393
393,CA,Baldwin Park,91706,34.071943,-117.963494
394,CA,Barstow,92311,34.882594,-116.991694
395,CA,Beaumont,92223,33.925116,-116.9516584
396,CA,Brawley,92227,32.962431,-115.545833
397,CA,Brea,92821,33.9135102,-117.8653504
398,CA,Buena Park,90620,33.84467,-117.986649
399,CA,Burbank,91502,34.188222,-118.32521
400,CA,Calexico,92231,32.697644,-115.496576
401,CA,Camarillo,93010,34.217292,-119.074618
402,CA,Carmichael,95608,38.6625991,-121.3249003
403,CA,Carson,90746,33.8483863,-118.2634793
404,CA,Ceres,95307,37.606766,-120.93739
405,CA,Cerritos,90703,33.872491,-118.061727
406,CA,Chico,95928,39.723234,-121.804955
407,CA,Chino,91710,33.995325,-117.719321
408,CA,Chula Vista,91910,32.637851,-117.024932
409,CA,Chula Vista,91910,32.651877,-117.094289
410,CA,Chula Vista,91911,32.606887,-117.083014
411,CA,Chula Vista,91915,32.631012,-116.968043
412,CA,Citrus Heights,95610,38.675699,-121.273287
413,CA,Citrus Heights,95621,38.689487,-121.295274
414,CA,City Of Industry,91745,33.998396,-117.932358
415,CA,Clearlake,95422,38.931599,-122.616359
416,CA,Clovis,93611,36.807126,-119.680832
417,CA,Clovis,93611,36.839765,-119.695785
418,CA,Clovis,93612,36.811301,-119.716929
419,CA,Coachella,92236,33.698811,-116.215202
420,CA,Colton,92324,34.050112,-117.306233
421,CA,Compton,90221,33.910022,-118.208176
422,CA,Corona,92879,33.89087,-117.517267
423,CA,Corona,92881,33.846009,-117.541261
424,CA,Corona,92882,33.87734,-117.596143
425,CA,Covina,91722,34.102622,-117.909601
426,CA,Crescent City,95531,41.774985,-124.189935
427,CA,Delano,92315,35.743983,-119.248053
428,CA,Diamond Bar,91765,34.001124,-117.809269
429,CA,Dinuba,93618,36.543418,-119.402385
430,CA,Dixon,95620,38.471927,-121.820361
431,CA,Downey,90242,33.924644,-118.129015
432,CA,Downey,90242,33.928185,-118.147756
433,CA,Duarte,91010,34.134035,-117.9838889
434,CA,El Cajon,92020,32.804338,-116.968341
435,CA,El Cajon,92021,32.797303,-116.936688
436,CA,El Cajon,92021,32.822626,-116.901748
437,CA,El Centro,92243,32.813411,-115.577324
438,CA,Elk Grove,95757,38.391338,-121.41621
439,CA,Elk Grove,95758,38.410207,-121.39202
440,CA,Elk Grove,95758,38.411762,-121.391694
441,CA,Encinitas,92024,33.069254,-117.266426
442,CA,Escondido,92027,33.1300697,-117.0629723
443,CA,Escondido,92027,33.130137,-117.062977
444,CA,Eureka,95501,40.780681,-124.190507
445,CA,Fairfield,94533,38.2790814,-122.0352432
446,CA,Folsom,95630,38.668326,-121.167602
447,CA,Fontana,92335,34.105588,-117.428136
448,CA,Foothill Ranch,92610,33.679795,-117.671317
449,CA,Fremont,94538,37.520242,-121.985626
450,CA,Fremont,94539,37.511302,-121.943195
451,CA,Fresno,93650,36.8391419,-119.8033202
452,CA,Fresno,93703,36.778967,-119.756212
453,CA,Fresno,93710,36.836316,-119.731113
454,CA,Fresno,93722,36.810606,-119.860333
455,CA,Fresno,93726,36.79259,-119.789216
456,CA,Fresno,93727,36.738206,-119.721718
457,CA,Galt,95632,38.289653,-121.304762
458,CA,Garden Grove,92840,33.800975,-117.94235
459,CA,Garden Grove,92841,33.790787,-117.964352
460,CA,Gilroy,95020,37.008583,-121.551183
461,CA,Glendora,91740,34.116431,-117.82595
462,CA,Granite Bay,95746,38.742435,-121.224989
463,CA,Hanford,93230,36.32181,-119.676372
464,CA,Hawthorne,90250,33.900143,-118.362426
465,CA,Hemet,92543,33.745448,-116.979639
466,CA,Hemet,92545,33.72639,-117.009917
467,CA,Hesperia,92345,34.424199,-117.370036
468,CA,Highland,92346,34.137744,-117.194853
469,CA,Huntington Beach,92646,33.700181,-117.985512
470,CA,Huntington Beach,92648,33.6555402,-117.9870451
471,CA,Indio,92203,33.7402813,-116.2292584
472,CA,Irvine,92606,33.698789,-117.835671
473,CA,Irvine,92618,33.6569282,-117.7417489
474,CA,Jackson,95642,38.35793,-120.806192
475,CA,Jurupa Valley,92509,33.974237,-117.4768763
476,CA,Kerman,93630,36.732679,-120.044129
477,CA,La Habra,90631,33.914719,-117.966157
478,CA,La Habra,90631,33.916159,-117.934851
479,CA,La Mesa,91942,32.7751045,-117.0077239
480,CA,La Mesa,91942,32.77773,-117.009055
481,CA,La Mirada,90638,33.918651,-118.013542
482,CA,La Palma,90623,33.845619,-118.038726
483,CA,La Puente,91744,34.0471887,-117.9497913
484,CA,La Quinta,92253,33.703645,-116.281073
485,CA,Laguna Niguel,92677,33.563536,-117.713072
486,CA,Lake Elsinore,92532,33.662186,-117.294445
487,CA,Lakewood,90712,33.830338,-118.15857
488,CA,Lancaster,93535,34.692518,-118.097675
489,CA,Lancaster,93536,34.693755,-118.174112
490,CA,Lincoln,95648,38.888601,-121.291797
491,CA,Livermore,94551,37.699249,-121.767991
492,CA,Lodi,95242,38.112985,-121.303278
493,CA,Loma Linda,92354,34.047122,-117.242268
494,CA,Lompoc,93436,34.662934,-120.465113
495,CA,Long Beach,90805,33.86142,-118.147723
496,CA,Long Beach,90808,33.829326,-118.090624
497,CA,Los Banos,93635,37.05397,-120.878932
498,CA,Madera,93637,36.975625,-120.08061
499,CA,Manteca,95337,37.785539,-121.218572
500,CA,Marina,93933,36.693096,-121.801112
501,CA,Martinez,94553,37.996909,-122.109451
502,CA,Marysville,95901,39.127225,-121.574284
503,CA,Merced,95348,37.317972,-120.501967
504,CA,Milpitas,95035,37.431416,-121.921182
505,CA,Modesto,95350,37.673392,-121.037048
506,CA,Modesto,95355,37.664584,-120.976596
507,CA,Modesto,95356,37.694458,-120.99185
508,CA,Moreno Valley,92555,33.935827,-117.181887
509,CA,Morgan Hill,95037,37.149211,-121.655172
510,CA,Mountain View,94040,37.400846,-122.109748
511,CA,Murrieta,92562,33.552575,-117.192629
512,CA,Napa,94558,38.309011,-122.283328
513,CA,National City,91950,32.6747692,-117.0993336
514,CA,North Highlands,95660,38.649823,-121.38631
515,CA,Norwalk,90650,33.9183185,-118.0828631
516,CA,Oceanside,92054,33.181302,-117.347277
517,CA,Oceanside,92054,33.200034,-117.374942
518,CA,Oceanside,92056,33.177006,-117.297792
519,CA,Oceanside,92057,33.241115,-117.29099
520,CA,Ontario,91762,34.082664,-117.672495
521,CA,Orange,92865,33.8280351,-117.8385642
522,CA,Orangevale,95662,38.67938,-121.222549
523,CA,Oroville,95965,39.496607,-121.57343
524,CA,Oxnard,93033,34.174418,-119.179256
525,CA,Oxnard,93036,34.220106,-119.161569
526,CA,Oxnard,93036,34.237006,-119.178825
527,CA,Palm Desert,92211,33.798218,-116.384711
528,CA,Palm Desert,92260,33.727992,-116.400709
529,CA,Palm Springs,92264,33.813069,-116.486956
530,CA,Palmdale,93551,34.611652,-118.144492
531,CA,Palmdale,93551,34.6141616,-118.2000966
532,CA,Palmdale,93552,34.556809,-118.042273
533,CA,Panorama City,91402,34.222633,-118.449536
534,CA,Panorama City,91402,34.2344724,-118.4486726
535,CA,Paramount,90723,33.902464,-118.14535
536,CA,Paso Robles,93446,35.612445,-120.681692
537,CA,Patterson,95363,37.462266,-121.142722
538,CA,Perris,92571,33.806034,-117.229378
539,CA,Pico Rivera,90660,33.985005,-118.105078
540,CA,Pittsburg,94565,38.009048,-121.868154
541,CA,Placerville,95667,38.704034,-120.828964
542,CA,Pleasanton,94566,37.689975,-121.876915
543,CA,Pleasanton,94588,37.698323,-121.887338
544,CA,Pomona,91766,34.029257,-117.757758
545,CA,Pomona,91767,34.0885722,-117.7374711
546,CA,Porter Ranch,91326,34.2776293,-118.5669947
547,CA,Porterville,93257,36.0834328,-119.0453125
548,CA,Poway,92064,32.9589415,-117.0376617
549,CA,Rancho Cordova,95670,38.5961282,-121.2918143
550,CA,Rancho Cucamonga,91739,34.10349,-117.531484
551,CA,Rancho Santa Margarita,92688,33.640786,-117.601392
552,CA,Red Bluff,96080,40.162188,-122.232418
553,CA,Redding,96003,40.583976,-122.34324
554,CA,Redlands,92373,34.065136,-117.222895
555,CA,Rialto,92376,34.0767,-117.3725
556,CA,Rialto,92376,34.122765,-117.374193
557,CA,Richmond,94806,37.979871,-122.328358
558,CA,Ridgecrest,93555,35.60703,-117.673342
559,CA,Riverside,92503,33.93707,-117.455339
560,CA,Riverside,92507,33.938582,-117.286158
561,CA,Rocklin,95677,38.784013,-121.239575
562,CA,Rocklin,95677,38.802655,-121.201915
563,CA,Rohnert Park,94928,38.36144,-122.692596
564,CA,Rohnert Park,94928,38.367439,-122.71648
565,CA,Rosemead,91770,34.050394,-118.085476
566,CA,Roseville,95661,38.747165,-121.256983
567,CA,Roseville,95678,38.78799,-121.2898911
568,CA,Sacramento,95821,38.616999,-121.39903
569,CA,Sacramento,95823,38.494354,-121.454151
570,CA,Sacramento,95823,38.499441,-121.433569
571,CA,Sacramento,95829,38.482677,-121.369026
572,CA,Sacramento,95832,38.459951,-121.490326
573,CA,Sacramento,95834,38.635584,-121.506013
574,CA,Sacramento,95842,38.704318,-121.33186
575,CA,Salinas,93906,36.717758,-121.650404
576,CA,Salinas,93907,36.705873,-121.668832
577,CA,San Bernardino,92407,34.165511,-117.336068
578,CA,San Clemente,92673,33.455717,-117.606181
579,CA,San Diego,92102,32.705735,-117.144421
580,CA,San Diego,92111,32.829543,-117.164984
581,CA,San Diego,92115,32.741663,-117.053585
582,CA,San Diego,92123,32.805348,-117.116408
583,CA,San Diego,92154,32.581551,-117.035491
584,CA,San Diego,92154,32.586939,-117.08928
585,CA,San Jacinto,92583,33.767907,-116.95555
586,CA,San Jose,95112,37.31621,-121.871095
587,CA,San Jose,95118,37.255456,-121.880176
588,CA,San Jose,95122,37.331034,-121.860387
589,CA,San Jose,95129,37.291593,-121.9887
590,CA,San Jose,95129,37.321668,-121.973182
591,CA,San Jose,95135,37.313558,-121.773066
592,CA,San Leandro,94577,37.714599,-122.177691
593,CA,San Leandro,94579,37.688248,-122.131586
594,CA,San Marcos,92069,33.135681,-117.123423
595,CA,San Ramon,94583,37.729313,-121.929191
596,CA,Sanger,93657,36.70562,-119.577659
597,CA,Santa Ana,92704,33.737285,-117.915302
598,CA,Santa Clara,95054,37.3900085,-121.9855022
599,CA,Santa Clarita,91350,34.413887,-118.506124
600,CA,Santa Clarita,91355,34.444031,-118.576072
601,CA,Santa Fe Springs,90670,33.940766,-118.049799
602,CA,Santa Maria,93454,34.9198793,-120.4191493
603,CA,Santa Maria,93455,34.919981,-120.419107
604,CA,Santa Maria,93458,34.948143,-120.4527076
605,CA,Santee,92071,32.8423055,-116.9903086
606,CA,Selma,93662,36.577321,-119.634423
607,CA,Simi Valley,93063,34.2757157,-118.7077044
608,CA,Simi Valley,93065,34.282111,-118.79216
609,CA,Sonora,95370,37.971663,-120.365778
610,CA,South Gate,90280,33.954813,-118.187613
611,CA,Stanton,90680,33.7749668,-117.9911038
612,CA,Stevenson Ranch,91381,34.383447,-118.569255
613,CA,Stockton,95210,38.004164,-121.292465
614,CA,Stockton,95212,38.023504,-121.273567
615,CA,Stockton,95219,38.049823,-121.376304
616,CA,Suisun City,94585,38.24262,-121.990103
617,CA,Susanville,96130,40.409033,-120.637585
618,CA,Temecula,92592,33.480162,-117.094503
619,CA,Thousand Oaks,91320,34.1862017,-118.909084
620,CA,Torrance,90501,33.856992,-118.300251
621,CA,Torrance,90503,33.827786,-118.353381
622,CA,Torrance,90503,33.855292,-118.352273
623,CA,Tracy,95304,37.751554,-121.471986
624,CA,Tulare,93274,36.228605,-119.328986
625,CA,Turlock,95380,37.509427,-120.873024
626,CA,Turlock,95380,37.515657,-120.847072
627,CA,Ukiah,95482,39.133706,-123.196989
628,CA,Union City,94587,37.604711,-122.067306
629,CA,Upland,91786,34.105919,-117.678367
630,CA,Upland,91786,34.108471,-117.62971
631,CA,Vacaville,95687,38.344678,-121.995845
632,CA,Vacaville,95687,38.350599,-121.951128
633,CA,Vacaville,95687,38.36206,-121.958994
634,CA,Vallejo,94589,38.126511,-122.254376
635,CA,Ventura,93003,34.258121,-119.2129493
636,CA,Victorville,92392,34.465211,-117.354392
637,CA,Victorville,92392,34.509447,-117.396782
638,CA,Visalia,93277,36.296665,-119.310199
639,CA,Visalia,93291,36.341376,-119.329685
640,CA,Visalia,93292,36.324329,-119.273131
641,CA,Vista,92083,33.172662,-117.216625
642,CA,Wasco,93280,35.604134,-119.359522
643,CA,West Covina,91791,34.073315,-117.886899
644,CA,West Hills,91307,34.188122,-118.625264
645,CA,West Sacramento,95605,38.58732,-121.550055
646,CA,Westminster,92683,33.767668,-117.993504
647,CA,Willows,95988,39.525898,-122.21772
648,CA,Windsor,95492,38.528764,-122.79005
649,CA,Woodland,95695,38.680872,-121.787924
650,CA,Woodland,95776,38.661335,-121.763685
651,CA,Woodland,95776,38.675429,-121.741011
652,CA,Yreka,96097,41.6986659,-122.6444711
653,CA,Yuba City,95993,39.144796,-121.653902
654,CA,Yucca Valley,92284,34.132285,-116.384378
